lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2020-03-11,10,28.950632836609792,21.659059800345197,23.32519624096548,100.0,0,0,168,0.02125213069442384,5.5035089007560204e-05,0.23184514196811964,0.41395908173585927,17.805189336670654,2.7670163107536143
2,2020-03-12,10,35.169541869379486,21.18972355982675,17.168244352381077,98.55072463768117,4,0,276,0.017720184865813657,4.850736446274713e-05,0.04068710049717097,0.35391846276575084,59.98067358464473,2.231223180521331
3,2020-03-13,10,30.07552384279509,19.368164765419618,15.072735213993171,99.63369963369964,1,0,273,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
4,2020-03-14,10,44.03029154169002,28.393616834488043,20.429374264863718,94.92753623188406,14,0,276,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
5,2020-03-15,10,20.110786142944068,12.494433735443085,10.530314085299846,100.0,0,0,276,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
6,2020-03-16,10,26.743894338714338,15.34085681065588,12.654694439902414,100.0,0,0,276,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
7,2020-03-17,10,38.795059263641846,26.045586160915015,20.32822265243778,97.46376811594203,7,0,276,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
8,2020-03-18,10,22.97571916701789,13.809622673016758,11.466704384332923,100.0,0,0,276,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
9,2020-03-19,10,30.251068019276904,17.537859625718312,13.821098544089882,97.82608695652173,6,0,276,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
10,2020-03-20,10,26.936754183343666,17.456820636517293,14.214451384547255,100.0,0,0,276,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
11,2020-03-21,10,30.99147325303389,17.473658531582466,14.330118108894894,100.0,0,0,133,0.005,1e-06,0.01,0.5,19.64613841170475,4.468404455350305
