lodo_fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2022-03-29,12,9.781811306004395,8.62821002657427,11.183895726703609,77.71084337349397,0,37,166,0.005,1e-06,0.5,0.5,17.176210257844588,2.0
2,2022-03-30,12,17.292637475751604,10.183027676954937,9.404918935440351,66.3157894736842,12,84,285,0.005,0.0001,0.5,0.5,34.36987065895608,2.0
3,2022-03-31,12,18.452299534677636,12.056238883061669,9.745894787119797,95.78947368421052,7,5,285,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
4,2022-04-01,12,29.685378951397052,17.81116779959536,11.636778627852019,79.64912280701755,26,32,285,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
5,2022-04-02,12,24.03796600045504,15.00332509221699,10.52140954892867,94.73684210526315,15,0,285,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
6,2022-04-03,12,28.942139918078745,15.629884539141491,11.102919111346894,97.54385964912281,7,0,285,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
7,2022-04-04,12,33.619847853899635,14.769505413836235,10.242121113990997,89.47368421052632,29,1,285,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
8,2022-04-05,12,44.88548075604331,15.69645252504027,14.57585190459996,93.33333333333333,9,10,285,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
9,2022-04-06,12,20.86643819648272,10.192768078121562,7.998989659576574,96.49122807017544,4,6,285,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
10,2022-04-07,12,26.454896308379592,11.080335678707856,10.06848031436711,83.85964912280703,7,39,285,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
11,2022-04-08,12,31.109329525311523,14.551521835240193,15.606223765367991,66.3157894736842,4,92,285,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
12,2022-04-09,12,15.907194009119513,11.599683058721807,9.471888198017767,88.0701754385965,0,34,285,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
13,2022-04-10,12,8.089766687572936,5.907018620870101,5.828519828449054,100.0,0,0,84,0.021854305348131316,9.512071633458171e-05,0.3686770314875885,0.30334265725654797,17.800932022121827,2.6239780813448106
