fold,test_date,train_days,RMSE,MAE,MAPE,Time_in_Range,Hyper_Events,Hypo_Events,N_Predictions,p1,p3,beta_meal,gamma_meal,t_lag,peak_mult
1,2025-02-07,12,6.86446554194257,5.413582893216961,3.7977823471092202,94.18604651162791,10,0,172,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
2,2025-02-08,12,25.566002024784687,13.772244821302973,9.223442769008173,81.40350877192982,53,0,285,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
3,2025-02-09,12,16.576639328360677,8.537243244473176,5.807533107878565,85.96491228070175,40,0,285,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
4,2025-02-10,12,22.125573109310942,11.814431387894818,6.971725445520745,69.47368421052632,87,0,285,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
5,2025-02-11,12,18.39785396247982,9.115693820513004,6.521048213914696,83.85964912280703,46,0,285,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
6,2025-02-12,12,12.00742419393172,7.524452331457486,5.002281543198217,94.03508771929825,17,0,285,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
7,2025-02-13,12,17.418518440437328,8.973396945769993,5.483091561234236,88.42105263157895,33,0,285,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
8,2025-02-14,12,19.239050113596132,8.390372168074581,6.3207854563318735,81.40350877192982,42,11,285,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
9,2025-02-15,12,25.080295016245618,12.265014278851625,6.951172606222985,70.17543859649122,85,0,285,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
10,2025-02-16,12,15.339511360194335,9.735665309848388,6.696124560113518,88.0701754385965,34,0,285,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
11,2025-02-17,12,23.904131294461983,13.547952862855837,8.965229187544601,73.68421052631578,75,0,285,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
12,2025-02-18,12,11.56085547192527,8.40328129537735,6.671804597029156,92.28070175438596,12,10,285,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
13,2025-02-19,12,6.954252884762098,6.028075380734663,5.099006279016955,100.0,0,0,96,0.005,0.0001,0.5,0.5,27.634470593802686,2.0
